List,Target Word,Stimulus 01,Stimulus 02,Stimulus 03,Stimulus 04,Stimulus 05,Stimulus 06
1,BASS,guitar,treble,drum,fish,music ,boom
2,BRAKE,stop,pedal,car,clutch,accelerate ,speed
3,CLAM,oyster,seafood,shell,chowder,pearl,mussel 
4,CLAMP,hold,tight,vise,chisel,tool,metal
5,CLUB,golf,member,ball,dance ,organisation,house
6,DOVE,bird,peace,white,beak,bar,feather
7,FEAR,scared,fright,terror,anxiety,monster,snake
8,PLANE,jet,air,fly,sky,travel,geometry
9,PINK,panther,pretty,purple,lemonade ,rose,dress
10,GIN,tonic,alcohol,vodka,drink,liquor,drunk
11,FRAUD,fake,cheat,lie,crime,false ,money 
12,FILE,cabinet,paper,folder,drawer,document,misfiling
13,FLASH,light,camera,bulb,bright,back,flood
14,GLASS,window,crystal,cup,bottle,clear,jar
15,LEAF,tree,maple,branch,flower,fall,pot
16,NECK,throat,tie,collar,necklace,shoulder,long
17,ROAST,beef,pork,cook,turkey ,oven,dinner
18,VEST,suit,jacket,shirt,blouse,coat ,pants
19,GAS,methane,station,energy,stove,heat,liquid
20,YARD,mile,metre,inch,grass,stick,foot
