cat,item,cue,color,presented,corrAns
OUL,PROUL,F,red,old,1
OUL,CLOUL,F,red,old,1
OUL,MOUL,F,red,old,1
OUL,BLOUL,F,red,old,1
OUL,WOUL,F,red,old,1
OUL,CROUL,F,red,old,1
OUL,NOUL,F,red,new,2
OUL,KROUL,F,red,new,2
OUL,BROUL,F,red,new,2
APP,BRAPP,F,red,old,1
APP,BAPP,F,red,old,1
APP,SPAPP,F,red,old,1
APP,FRAPP,F,red,old,1
APP,BLAPP,F,red,old,1
APP,DRAPP,F,red,old,1
APP,PLAPP,F,red,new,2
APP,DAPP,F,red,new,2
APP,SHAPP,F,red,new,2
OON,DROON,F,red,old,1
OON,BROON,F,red,old,1
OON,TROON,F,red,old,1
OON,HOON,F,red,old,1
OON,GROON,F,red,old,1
OON,SHOON,F,red,old,1
OON,PROON,F,red,new,2
OON,PLOON,F,red,new,2
OON,KLOON,F,red,new,2
LLY,CLELLY,F,red,old,1
LLY,BLELLY,F,red,old,1
LLY,TRELLY,F,red,old,1
LLY,PLELLY,F,red,old,1
LLY,PRELLY,F,red,old,1
LLY,WELLY,F,red,old,1
LLY,DELLY,F,red,new,2
LLY,FLELLY,F,red,new,2
LLY,MELLY,F,red,new,2
OST,SOOST,F,red,old,1
OST,DROOST,F,red,old,1
OST,MOOST,F,red,old,1
OST,CLOOST,F,red,old,1
OST,SHOOST,F,red,old,1
OST,SPOOST,F,red,old,1
OST,ZOOST,F,red,new,2
OST,POOST,F,red,new,2
OST,BLOOST,F,red,new,2
OES,ZOES,F,red,old,1
OES,KROES,F,red,old,1
OES,SPOES,F,red,old,1
OES,CLOES,F,red,old,1
OES,DROES,F,red,old,1
OES,PLOES,F,red,old,1
OES,KLOES,F,red,new,2
OES,PROES,F,red,new,2
OES,TROES,F,red,new,2
LES,FRAFFLES,R,green,old,1
LES,KLAFFLES,R,green,old,1
LES,SPAFFLES,R,green,old,1
LES,PRAFFLES,R,green,old,1
LES,SHAFFLES,R,green,old,1
LES,TRAFFLES,R,green,old,1
LES,CRAFFLES,R,green,new,2
LES,MAFFLES,R,green,new,2
LES,KAFFLES,R,green,new,2
STE,DRASTE,R,green,old,1
STE,JASTE,R,green,old,1
STE,GASTE,R,green,old,1
STE,PRASTE,R,green,old,1
STE,ZASTE,R,green,old,1
STE,KASTE,R,green,old,1
STE,FRASTE,R,green,new,2
STE,NASTE,R,green,new,2
STE,STASTE,R,green,new,2
AAF,BAAF,R,green,old,1
AAF,DRAAF,R,green,old,1
AAF,FRAAF,R,green,old,1
AAF,KRAAF,R,green,old,1
AAF,DAAF,R,green,old,1
AAF,JAAF,R,green,old,1
AAF,GRAAF,R,green,new,2
AAF,KLAAF,R,green,new,2
AAF,CLAAF,R,green,new,2
GEN,PRAGGEN,R,green,old,1
GEN,PLAGGEN,R,green,old,1
GEN,BLAGGEN,R,green,old,1
GEN,JAGGEN,R,green,old,1
GEN,KAGGEN,R,green,old,1
GEN,CLAGGEN,R,green,old,1
GEN,CRAGGEN,R,green,new,2
GEN,SPAGGEN,R,green,new,2
GEN,TRAGGEN,R,green,new,2
NTH,HINTH,R,green,old,1
NTH,DRINTH,R,green,old,1
NTH,BINTH,R,green,old,1
NTH,BLINTH,R,green,old,1
NTH,BRINTH,R,green,old,1
NTH,JINTH,R,green,old,1
NTH,PINTH,R,green,new,2
NTH,FLINTH,R,green,new,2
NTH,PRINTH,R,green,new,2
ILT,NOILT,R,green,old,1
ILT,PLOILT,R,green,old,1
ILT,BLOILT,R,green,old,1
ILT,GROILT,R,green,old,1
ILT,JOILT,R,green,old,1
ILT,DROILT,R,green,old,1
ILT,TROILT,R,green,new,2
ILT,WOILT,R,green,new,2
ILT,ZOILT,R,green,new,2
EUN,SHEUN,New,none,new,2
EUN,BREUN,New,none,new,2
EUN,SEUN,New,none,new,2
CIE,NACIE,New,none,new,2
CIE,KACIE,New,none,new,2
CIE,WACIE,New,none,new,2
ION,NICTION,New,none,new,2
ION,BICTION,New,none,new,2
ION,SPICTION,New,none,new,2
TED,DRATED,New,none,new,2
TED,ZATED,New,none,new,2
TED,PATED,New,none,new,2
MED,SORMED,New,none,new,2
MED,JORMED,New,none,new,2
MED,PLORMED,New,none,new,2
ACY,SHACY,New,none,new,2
ACY,KRACY,New,none,new,2
ACY,GACY,New,none,new,2
PEL,ZAPEL,New,none,new,2
PEL,BAPEL,New,none,new,2
PEL,KRAPEL,New,none,new,2
HED,STOTHED,New,none,new,2
HED,BOTHED,New,none,new,2
HED,GROTHED,New,none,new,2
TAL,PENTAL,New,none,new,2
TAL,GRENTAL,New,none,new,2
TAL,KENTAL,New,none,new,2
GHT,PRAUGHT,New,none,new,2
GHT,CRAUGHT,New,none,new,2
GHT,MAUGHT,New,none,new,2
UDY,BLUDY,New,none,new,2
UDY,SHUDY,New,none,new,2
UDY,CLUDY,New,none,new,2
EME,PEME,New,none,new,2
EME,KEME,New,none,new,2
EME,STEME,New,none,new,2
